rd1	rd1_monOrder	rd1Ori	rd2	rd2_monOrder	rd2Ori	insSizeEstimate	insVector
967047233	m31v1,m32v4	R	NA	NaN	NaN	1925	smPlasmid
948096094	m6v1	F	NA	NaN	NaN	10201	lgPlasmid
942691755	m23v1,m24v7	R	NA	NaN	NaN	10201	lgPlasmid
944221143	m11v7	F	NA	NaN	NaN	10201	lgPlasmid
971530826	m30v2	F	NA	NaN	NaN	10201	lgPlasmid
980800301	m14v3	R	NA	NaN	NaN	1925	smPlasmid
942890143	m20v3,m21v6	F	NA	NaN	NaN	10201	lgPlasmid
978832303	m9v4	F	NA	NaN	NaN	1925	smPlasmid
971843380	m7v4,m8v6	F	NA	NaN	NaN	10201	lgPlasmid
966964368	m27v4	F	NA	NaN	NaN	1925	smPlasmid
943115457	m24v7,m25v1	R	NA	NaN	NaN	10201	lgPlasmid
942626291	m16v1,m17v3	R	NA	NaN	NaN	10201	lgPlasmid
948015080	m18v2,m19v2	F	NA	NaN	NaN	10201	lgPlasmid
942614242	m11v7	R	NA	NaN	NaN	10201	lgPlasmid
978791177	m30v2	R	NA	NaN	NaN	1925	smPlasmid
979369824	m14v3,m15v7	F	NA	NaN	NaN	1925	smPlasmid
980647904	m26v7,m27v4	R	NA	NaN	NaN	1925	smPlasmid
978966088	m11v6,m12v1	F	NA	NaN	NaN	1925	smPlasmid
980318474	m20v3	F	NA	NaN	NaN	1925	smPlasmid
942567875	m23v1	R	NA	NaN	NaN	10201	lgPlasmid
980373852	m21v6,m22v3	F	NA	NaN	NaN	1925	smPlasmid
949206345	m7v4,m8v6,m9v4	R	NA	NaN	NaN	10201	lgPlasmid
948240957	m5v6,m6v1,m7v4	F	NA	NaN	NaN	10201	lgPlasmid
971943831	m22v3	R	NA	NaN	NaN	10201	lgPlasmid
972615133	m16v1,m17v2,m18v2	R	NA	NaN	NaN	1925	smPlasmid
967011568	m15v4,m16v1	F	NA	NaN	NaN	1925	smPlasmid
991575673	m5v6	F	NA	NaN	NaN	1925	smPlasmid
980625148	m19v2	F	NA	NaN	NaN	1925	smPlasmid
948692429	m1v2,m2v2	R	NA	NaN	NaN	10201	lgPlasmid
972299973	m26v7	F	NA	NaN	NaN	1925	smPlasmid
971450663	m31v1	F	NA	NaN	NaN	10201	lgPlasmid
980306754	m13v3,m14v3,m15v4	F	NA	NaN	NaN	1925	smPlasmid
966484397	m25v1,m26v6	F	NA	NaN	NaN	1925	smPlasmid
942815962	m24v7,m25v1	F	NA	NaN	NaN	10201	lgPlasmid
944276468	m29v2,m30v2	R	NA	NaN	NaN	10201	lgPlasmid
948701377	m7v4	R	NA	NaN	NaN	10201	lgPlasmid
971469338	m15v4,m16v1	R	NA	NaN	NaN	10201	lgPlasmid
944581171	m1v2	F	NA	NaN	NaN	10201	lgPlasmid
978813725	m21v6	F	NA	NaN	NaN	1925	smPlasmid
979574994	m10v3,m11v7	F	NA	NaN	NaN	1925	smPlasmid
979434163	m21v6,m22v3	F	NA	NaN	NaN	1925	smPlasmid
980188242	m3v2,m4v4	F	NA	NaN	NaN	1925	smPlasmid
978987302	m19v2,m20v3	R	NA	NaN	NaN	1925	smPlasmid
946860348	m9v4,m10v3,m11v7	F	NA	NaN	NaN	1925	smPlasmid
953432236	m32v4,m33v2	F	NA	NaN	NaN	1925	smPlasmid
967213377	m33v2,m34v3,m1v2	R	NA	NaN	NaN	1925	smPlasmid
966950238	m1v2	R	NA	NaN	NaN	1925	smPlasmid
979901785	m3v2,m4v4	R	NA	NaN	NaN	1925	smPlasmid
951935235	m7v4	F	NA	NaN	NaN	1925	smPlasmid
944635683	m6v1	F	NA	NaN	NaN	10201	lgPlasmid
971917517	m16v1,m17v3	F	NA	NaN	NaN	10201	lgPlasmid
947510110	m17v3,m18v1	R	NA	NaN	NaN	1925	smPlasmid
948091849	m3v1,m4v4	R	NA	NaN	NaN	10201	lgPlasmid
943096711	m28v4	F	NA	NaN	NaN	10201	lgPlasmid
972333146	m24v7	F	NA	NaN	NaN	1925	smPlasmid
952059870	m2v4,m3v2	F	NA	NaN	NaN	1925	smPlasmid
942874741	m5v6,m6v1	R	NA	NaN	NaN	10201	lgPlasmid
972259666	m25v1,m26v2	F	NA	NaN	NaN	1925	smPlasmid
944155993	m14v3	R	NA	NaN	NaN	10201	lgPlasmid
948731518	m34v1,m1v2	F	NA	NaN	NaN	10201	lgPlasmid
972636973	m8v6,m9v4,m10v3	F	NA	NaN	NaN	1925	smPlasmid
944684386	m12v1	F	NA	NaN	NaN	10201	lgPlasmid
942990943	m7v4,m8v6	R	NA	NaN	NaN	10201	lgPlasmid
961198041	m13v3,m13v3	F	NA	NaN	NaN	1925	smPlasmid
952135893	m3v2,m4v4	F	NA	NaN	NaN	1925	smPlasmid
948063782	m34v3,m1v2	F	NA	NaN	NaN	10201	lgPlasmid
971506873	m20v3,m21v6	R	NA	NaN	NaN	10201	lgPlasmid
971440688	m34v3	R	NA	NaN	NaN	10201	lgPlasmid
970586477	m6v1,m7v4	R	NA	NaN	NaN	10201	lgPlasmid
967031912	m24v7,m25v1	F	NA	NaN	NaN	1925	smPlasmid
980712384	m14v3	F	NA	NaN	NaN	1925	smPlasmid
979472863	m22v3,m23v1	F	NA	NaN	NaN	1925	smPlasmid
944142318	m30v2	F	NA	NaN	NaN	10201	lgPlasmid
979524787	m17v3,m18v2	R	NA	NaN	NaN	1925	smPlasmid
951943406	m10v3	R	NA	NaN	NaN	1925	smPlasmid
952394454	m8v6,m9v4	F	NA	NaN	NaN	1925	smPlasmid
980787211	m9v4,m10v3	R	NA	NaN	NaN	1925	smPlasmid
944366732	m8v6	F	NA	NaN	NaN	10201	lgPlasmid
979113181	m28v4,m29v1,m30v2	F	NA	NaN	NaN	1925	smPlasmid
979501056	m12v1	F	NA	NaN	NaN	1925	smPlasmid
979087919	m33v2	R	NA	NaN	NaN	1925	smPlasmid
971480644	m4v4,m5v6	F	NA	NaN	NaN	10201	lgPlasmid
949268337	m34v3	R	NA	NaN	NaN	10201	lgPlasmid
944689317	m31v1	R	NA	NaN	NaN	10201	lgPlasmid
971660866	m26v7,m27v4	F	NA	NaN	NaN	10201	lgPlasmid
948068345	m11v7,m12v1	F	NA	NaN	NaN	10201	lgPlasmid
1742690647	m34v3,m1v2,m2v2	R	NA	NaN	NaN	9500	lgPlasmid
971206372	m20v3	R	NA	NaN	NaN	10201	lgPlasmid
979184143	m18v2,m19v2,m20v3	F	NA	NaN	NaN	1925	smPlasmid
942550163	m32v4,m33v3	F	NA	NaN	NaN	10201	lgPlasmid
978499830	m22v3	F	NA	NaN	NaN	1925	smPlasmid
944700422	m22v3,m23v1	F	NA	NaN	NaN	10201	lgPlasmid
979804218	m19v2	F	NA	NaN	NaN	1925	smPlasmid
971564914	m2v4,m3v2	F	NA	NaN	NaN	10201	lgPlasmid
940523253	m1v2,m2v4	F	NA	NaN	NaN	10201	lgPlasmid
971789001	m20v3	F	NA	NaN	NaN	10201	lgPlasmid
947245136	m2v4,m3v2	R	NA	NaN	NaN	1925	smPlasmid
949161361	m23v1,m24v7	R	NA	NaN	NaN	10201	lgPlasmid
991580200	m2v4,m3v2	R	NA	NaN	NaN	1925	smPlasmid
967204889	m25v1,m26v7,m27v4	F	NA	NaN	NaN	1925	smPlasmid
948685690	m15v4	F	NA	NaN	NaN	10201	lgPlasmid
979983442	m10v3	R	NA	NaN	NaN	1925	smPlasmid
972642377	m17v2,m18v2	R	NA	NaN	NaN	1925	smPlasmid
979460190	m20v3	F	NA	NaN	NaN	1925	smPlasmid
979088705	m1v2,m2v4,m3v2	R	NA	NaN	NaN	1925	smPlasmid
944667631	m29v1,m30v2	R	NA	NaN	NaN	10201	lgPlasmid
981016401	m28v4,m29v6	F	NA	NaN	NaN	1925	smPlasmid
947267772	m19v2,m20v3	F	NA	NaN	NaN	1925	smPlasmid
948842519	m9v4	R	NA	NaN	NaN	10201	lgPlasmid
971765370	m30v2	R	NA	NaN	NaN	10201	lgPlasmid
980715329	m7v4,m8v6	R	NA	NaN	NaN	1925	smPlasmid
949326409	m21v6,m22v3,m23v1	R	NA	NaN	NaN	10201	lgPlasmid
942885978	m4v4	R	NA	NaN	NaN	10201	lgPlasmid
942329934	m24v7	F	NA	NaN	NaN	10201	lgPlasmid
948478363	m14v3	R	NA	NaN	NaN	10201	lgPlasmid
948050429	m25v1,m26v7	R	NA	NaN	NaN	10201	lgPlasmid
979875678	m2v2,m3v2,m4v4	R	NA	NaN	NaN	1925	smPlasmid
991469466	m13v3	F	NA	NaN	NaN	1925	smPlasmid
947039347	m1v2	R	NA	NaN	NaN	1925	smPlasmid
967069333	m22v3,m23v1	R	NA	NaN	NaN	1925	smPlasmid
978994981	m13v3,m14v3	F	NA	NaN	NaN	1925	smPlasmid
942647681	m25v1,m26v7	F	NA	NaN	NaN	10201	lgPlasmid
947992590	m14v3	R	NA	NaN	NaN	10201	lgPlasmid
971544618	m30v2,m31v1	F	NA	NaN	NaN	10201	lgPlasmid
979563871	m16v1,m17v3	R	NA	NaN	NaN	1925	smPlasmid
939570894	m24v7,m25v1,m26v7	R	NA	NaN	NaN	10201	lgPlasmid
954821850	m27v4,m28v4	R	NA	NaN	NaN	1925	smPlasmid
972334587	m11v7	F	NA	NaN	NaN	1925	smPlasmid
971461405	m22v3,m23v1,m24v7	R	NA	NaN	NaN	10201	lgPlasmid
944707322	m7v4,m8v6,m9v4	F	NA	NaN	NaN	10201	lgPlasmid
971567228	m28v4,m29v2	R	NA	NaN	NaN	10201	lgPlasmid
1746869471	m28v4,m29v3,m30v2	F	NA	NaN	NaN	12500	lgPlasmid
979480791	m28v4,m29v1	R	NA	NaN	NaN	1925	smPlasmid
979148181	m5v6	F	NA	NaN	NaN	1925	smPlasmid
946877529	m25v1,m26v7	F	NA	NaN	NaN	1925	smPlasmid
944211321	m14v3,m15v4	F	NA	NaN	NaN	10201	lgPlasmid
949356962	m14v3	F	NA	NaN	NaN	10201	lgPlasmid
944590675	m12v1,m52563v1	F	NA	NaN	NaN	10201	lgPlasmid
980888711	m18v2,m19v2	F	NA	NaN	NaN	1925	smPlasmid
952151785	m20v3,m21v6,m22v3	F	NA	NaN	NaN	1925	smPlasmid
980748934	m21v6,m22v3	R	NA	NaN	NaN	1925	smPlasmid
979917799	m28v5,m29v1,m30v2	F	NA	NaN	NaN	1925	smPlasmid
949436082	m30v2,m31v1	R	NA	NaN	NaN	10201	lgPlasmid
980210469	m11v7,m12v1,m13v3	R	NA	NaN	NaN	1925	smPlasmid
965901192	m25v1	R	NA	NaN	NaN	1925	smPlasmid
942283463	m25v1,m26v7,m27v4	R	NA	NaN	NaN	10201	lgPlasmid
