HLpasDom1	NCBI	GCA_001700915.1	Passer domesticus
HLpasMon1	NCBI	GCA_014805655.1	Passer montanus
HLpasSanAla1	NCBI	GCA_022577445.1	Passerculus sandwichensis alaudinus
HLpatFas1	NCBI	GCA_002029285.1	Patagioenas fasciata monilis
HLpavCri1	NCBI	GCA_005519975.1	Pavo cristatus
HLpavMut1	NCBI	GCA_016647715.1	Pavo muticus
HLpedTor1	NCBI	GCA_013398155.1	Pedionomus torquatus
HLpelUri1	NCBI	GCA_013400755.1	Pelecanoides urinatrix
HLpenPil1	NCBI	GCA_013396635.1	Penelope pileata
HLpeuTae1	NCBI	GCA_013400575.1	Peucedramus taeniatus
HLphaCol1	NCBI	GCA_004143745.1	Phasianus colchicus
HLphaCol2	NCBI	GCA_015227605.1	Phasianus colchicus
HLphaNit1	NCBI	GCA_013400175.1	Phainopepla nitens
HLpheMel1	NCBI	GCA_013398405.1	Pheucticus melanocephalus
HLphoAlb1	NCBI	GCA_014363385.1	Phoebastria albatrus
HLphoRub1	NCBI	GCA_009819775.1	Phoenicopterus ruber ruber
HLphyTro1	NCBI	GCA_002305835.1	Phylloscopus trochilus acredula
HLphyWhi1	NCBI	GCA_017589585.1	Phylloscopus whistleri
HLpiaCay1	NCBI	GCA_013389865.1	Piaya cayana
HLpicGym1	NCBI	GCA_013390045.1	Picathartes gymnocephalus
HLpicPub2	NCBI	GCA_014839835.1	Picoides pubescens
HLpioSen1	NCBI	GCA_011762725.1	Pionus senilis
HLpipChl1	NCBI	GCA_013399295.1	Piprites chloris
HLpipFil1	NCBI	GCA_003945595.1	Pipra filicauda
HLpitSor1	NCBI	GCA_013390025.1	Pitta sordida
HLploNig1	NCBI	GCA_013399945.1	Ploceus nigricollis
HLpluApr1	NCBI	GCA_017639485.1	Pluvialis apricaria
HLpluSoc1	NCBI	GCA_013400795.1	Pluvianellus socialis
HLpodPod1	NCBI	GCA_013399565.1	Podilymbus podiceps
HLpodStr1	NCBI	GCA_013399755.1	Podargus strigoides
HLpoeAtr1	NCBI	GCA_011421415.1	Poecile atricapillus
HLpogPus1	NCBI	GCA_015220805.1	Pogoniulus pusillus
HLpolCae1	NCBI	GCA_013397295.1	Polioptila caerulea
HLpomRuf1	NCBI	GCA_013401195.1	Pomatorhinus ruficollis
HLporHoc1	NCBI	GCA_020800305.1	Porphyrio hochstetteri
HLpriSub1	NCBI	GCA_021018805.1	Prinia subflava
HLproAte1	NCBI	GCA_013397665.1	Probosciger aterrimus
HLproSubSub1	NCBI	GCA_022316685.1	Progne subis subis
