9541	GCF_000364345.1	Macaca_fascicularis_5.0	Macaca fascicularis	crab-eating macaque;Macaca cynomolgus;Macaca irus;cynomolgus macaque;crab eating macaque;cynomolgus monkey;cynomolgus monkeys;long-tailed macaque;
9544	GCF_000772875.2	Mmul_8.0.1	Macaca mulatta	Rhesus monkey;rhesus macaque;rhesus macaques;rhesus monkeys;
9545	GCF_000956065.1	Mnem_1.0	Macaca nemestrina	pig-tailed macaque;pigtail macaque;pigtail monkey;
9555	GCF_000264685.2	Panu_2.0	Papio anubis	olive baboon;Anubis baboon;Papio cynocephalus anubis;Papio doguera;Papio hamadryas anubis;Papio hamadryas doguera;Doguera baboon;Kenya baboon;baboon;
9568	GCF_000951045.1	Mleu.le_1.0	Mandrillus leucophaeus	drill;Papio leucophaeus;
9593	GCF_000151905.2	gorGor4	Gorilla gorilla gorilla	western gorilla;Troglodytes gorilla;gorilla;
9597	GCF_000258655.2	panpan1.1	Pan paniscus	pygmy chimpanzee;bonobo;
9598	GCF_000001515.7	Pan_tro_3.0	Pan troglodytes	chimpanzee;
9601	GCF_000001545.4	P_pygmaeus_2.0.2	Pongo abelii	Sumatran orangutan;Pongo pygmaeus abeli;Pongo pygmaeus abelii;Orang-utan;Orangutan;orang utan;
9606	GCF_000001405.36	GRCh38.p10	Homo sapiens	human;humans;man;
9612	GCF_000002285.3	CanFam3.1	Canis lupus familiaris	gray wolf;grey wolf;
9646	GCF_000004335.2	AilMel_1.0	Ailuropoda melanoleuca	giant panda;
9668	GCF_000215625.1	MusPutFur1.0	Mustela putorius furo	European polecat;Putorius putorius;
9685	GCF_000181335.2	Felis_catus_8.0	Felis catus	domestic cat;Felis domesticus;Felis silvestris catus;cat;cats;
9691	GCF_001857705.1	PanPar1.0	Panthera pardus	leopard;Leo pardus;
9694	GCF_000464555.1	PanTig1.0	Panthera tigris altaica	tiger;
9707	GCF_000321225.1	Oros_1.0	Odobenus rosmarus divergens	walrus;
97097	GCF_000687285.1	ASM68728v1	Phaethon lepturus	white-tailed tropicbird;
9713	GCF_000349705.1	LepWed1.0	Leptonychotes weddellii	Weddell seal;Leptonychotes weddelli;
9733	GCF_000331955.2	Oorc_1.1	Orcinus orca	killer whale;Orca;
9739	GCF_001922835.1	NIST_Tur_tru_v1	Tursiops truncatus	bottlenosed dolphin;Atlantic bottle-nosed dolphin;bottle-nosed dolphin;
9755	GCF_000472045.1	Physeter_macrocephalus-2.0.2	Physeter catodon	sperm whale;Physeter macrocephalus;
9767	GCF_000493695.1	BalAcu1.0	Balaenoptera acutorostrata scammoni	minke whale;lesser rorqual;
9778	GCF_000243295.1	TriManLat1.0	Trichechus manatus latirostris	West Indian manatee;
9785	GCF_000001905.1	Loxafr3.0	Loxodonta africana	African savanna elephant;Loxodonta africana africana;African bush elephant;African savannah elephant;
9793	GCF_001305755.1	ASM130575v1	Equus asinus	ass;African ass;African wild ass;Somali wild ass;domestic ass;donkey;
9796	GCF_000002305.2	EquCab2.0	Equus caballus	horse;Equus ferus caballus;Equus przewalskii f. caballus;Equus przewalskii forma caballus;domestic horse;equine;
9798	GCF_000696695.1	Burgud	Equus przewalskii	Przewalski's horse;Equus caballus przewalskii;Equus ferus przewalskii;Przewalski horse;
9807	GCF_000283155.1	CerSimSim1.0	Ceratotherium simum simum	white rhinoceros;square-lipped rhinoceros;
9818	GCF_000298275.1	OryAfe1.0	Orycteropus afer afer	aardvark;
9823	GCF_000003025.5	Sscrofa10.2	Sus scrofa	pig;pigs;swine;wild boar;
