accession	label	cell_type	tissue	_source_name	_study	__sample	__bsrate	__meth	__depth	__mapping	__uniq	__sites	__hmr_size	__hmr_count	__pmd_size	__pmd_count
SRX7784162	Fat Body	NA	Fat body	NA	SRP250391	SRS6200215	0.999	0.010	21.179	0.631	0.943	0.983	77758.8	1998	2393.5	10
SRX7784163	Fat Body	NA	Fat body	NA	SRP250391	SRS6200216	0.999	0.010	25.458	0.683	0.936	0.980	75187.35	2059	1000.0	1
SRX7784164	Fat Body	NA	Fat body	NA	SRP250391	SRS6200217	0.999	0.013	31.048	0.662	0.898	0.981	76198.54	2057	0.0	0
SRX7784165	Fat Body	NA	Fat body	NA	SRP250391	SRS6200218	0.995	0.024	21.266	0.668	0.816	0.965	28766.79	1108	11372.0	8
SRX7784166	Fat Body	NA	Fat body	NA	SRP250391	SRS6200219	0.999	0.010	47.722	0.678	0.925	0.985	75065.67	2091	0.0	0
SRX7784167	Fat Body	NA	Fat body	NA	SRP250391	SRS6200220	0.999	0.009	48.064	0.659	0.926	0.986	74219.67	2117	0.0	0
SRX7784168	Fat Body	NA	Fat body	NA	SRP250391	SRS6200221	0.999	0.009	42.121	0.688	0.926	0.984	76258.45	2048	0.0	0
SRX7784169	Fat Body	NA	Fat body	NA	SRP250391	SRS6200222	0.999	0.012	22.290	0.669	0.933	0.980	77150.87	2027	1569.0	1
SRX7784170	Fat Body	NA	Fat body	NA	SRP250391	SRS6200223	0.999	0.007	48.154	0.692	0.931	0.988	74916.3	2074	0.0	0
SRX7784171	Fat Body	NA	Fat body	NA	SRP250391	SRS6200224	0.999	0.007	55.199	0.682	0.923	0.989	75973.23	2061	0.0	0
SRX7784172	Fat Body	NA	Fat body	NA	SRP250391	SRS6200225	0.999	0.011	25.987	0.668	0.937	0.982	78326.49	1987	590.8	5
SRX7784173	Fat Body	NA	Fat body	NA	SRP250391	SRS6200226	0.999	0.013	30.897	0.679	0.898	0.981	77260.3	2019	0.0	0
SRX7784174	Fat Body	NA	Fat body	NA	SRP250391	SRS6200227	0.999	0.011	44.250	0.665	0.912	0.985	75932.81	2063	0.0	0
SRX7784175	Fat Body	NA	Fat body	NA	SRP250391	SRS6200228	0.999	0.013	26.280	0.667	0.928	0.982	77995.02	1996	1134.86	7
SRX8058300	Brain Ovary And Thorax Of Each Newly Emerged Queen	NA	brain, ovary and thorax of each newly emerged queen	NA	SRP255221	SRS6427600	0.987	0.016	30.011	0.734	0.702	0.981	75741.97	2039	200419.48	659
SRX8058301	Brain Ovary And Thorax Of Each Newly Emerged Queen	NA	brain, ovary and thorax of each newly emerged queen	NA	SRP255221	SRS6427601	0.988	0.016	27.455	0.732	0.717	0.981	77233.13	1988	199617.54	659
SRX8058302	Brain Ovary And Thorax Of Each Newly Emerged Queen	NA	brain, ovary and thorax of each newly emerged queen	NA	SRP255221	SRS6427599	0.987	0.016	30.393	0.683	0.610	0.982	75649.71	2052	200200.96	656
SRX8058303	Brain Ovary And Thorax Of Each Newly Emerged Queen	NA	brain, ovary and thorax of each newly emerged queen	NA	SRP255221	SRS6427604	0.996	0.010	23.613	0.676	0.835	0.978	76758.25	2008	18047.07	45
SRX8058304	Brain Ovary And Thorax Of Each Newly Emerged Queen	NA	brain, ovary and thorax of each newly emerged queen	NA	SRP255221	SRS6427602	0.984	0.018	29.476	0.703	0.799	0.981	76994.92	1995	213443.66	596
SRX8058305	Brain Ovary And Thorax Of Each Newly Emerged Queen	NA	brain, ovary and thorax of each newly emerged queen	NA	SRP255221	SRS6427603	0.985	0.017	31.563	0.725	0.765	0.982	77636.87	1981	202595.49	645
SRX8058306	Brain Ovary And Thorax Of Each Newly Emerged Queen	NA	brain, ovary and thorax of each newly emerged queen	NA	SRP255221	SRS6427605	0.987	0.017	26.426	0.737	0.728	0.980	77120.33	1986	202736.28	642
