wgEncodeCaltechTfbsC2c12Pol2FCntrl32bE2p60hPcr2xPkRep1	Caltech-m	2011-08-05	n/a	2012-05-05
wgEncodeCaltechTfbsC2c12Pol2FCntrl32bE2p60hPcr2xRawDataRep1	Caltech-m	2011-08-05	n/a	2012-05-05
wgEncodeCaltechTfbsC2c12Pol2FCntrl32bE2p60hPcr2xSigRep1	Caltech-m	2011-08-05	n/a	2012-05-05
wgEncodeCaltechTfbsC2c12Pol2s2FCntrl32bE2p60hPcr2xAlnRep1	Caltech-m	2011-08-05	n/a	2012-05-05
wgEncodeCaltechTfbsC2c12Pol2s2FCntrl32bE2p60hPcr2xPkRep1	Caltech-m	2011-08-05	n/a	2012-05-05
wgEncodeCaltechTfbsC2c12Pol2s2FCntrl32bE2p60hPcr2xRawDataRep1	Caltech-m	2011-08-05	n/a	2012-05-05
wgEncodeCaltechTfbsC2c12Pol2s2FCntrl32bE2p60hPcr2xSigRep1	Caltech-m	2011-08-05	n/a	2012-05-05
wgEncodeCaltechTfbsC2c12Sc12732FCntrl32bE2p24hPcr2xPkRep1	Caltech-m	2011-09-01	n/a	2012-06-01
wgEncodeCaltechTfbsC2c12Sc12732FCntrl32bE2p24hPcr2xRawDataRep1	Caltech-m	2011-09-01	n/a	2012-06-01
wgEncodeCaltechTfbsC2c12Sc12732FCntrl32bE2p24hPcr2xSigRep1	Caltech-m	2011-09-01	n/a	2012-06-01
wgEncodeCaltechTfbsC2c12Sc12732FCntrl32bE2p60hPcr2xAlnRep1	Caltech-m	2011-08-11	n/a	2012-05-11
wgEncodeCaltechTfbsC2c12Sc12732FCntrl32bE2p60hPcr2xPkRep1	Caltech-m	2011-08-11	n/a	2012-05-11
wgEncodeCaltechTfbsC2c12Sc12732FCntrl32bE2p60hPcr2xRawDataRep1	Caltech-m	2011-08-11	n/a	2012-05-11
wgEncodeCaltechTfbsC2c12Sc12732FCntrl32bE2p60hPcr2xSigRep1	Caltech-m	2011-08-11	n/a	2012-05-11
wgEncodeCaltechTfbsC2c12Sc12732FCntrl32bPcr2xAlnRep1	Caltech-m	2011-08-11	n/a	2012-05-11
wgEncodeCaltechTfbsC2c12Sc12732FCntrl32bPcr2xPkRep1	Caltech-m	2011-08-11	n/a	2012-05-11
wgEncodeCaltechTfbsC2c12Sc12732FCntrl32bPcr2xRawDataRep1	Caltech-m	2011-08-11	n/a	2012-05-11
wgEncodeCaltechTfbsC2c12Sc12732FCntrl32bPcr2xSigRep1	Caltech-m	2011-08-11	n/a	2012-05-11
wgEncodeCaltechTfbsC2c12Sc12732FCntrl50bE2p7dPcr1xAlnRep1	Caltech-m	2011-08-11	n/a	2012-05-11
