wgEncodeAwgTfbsHaibA549Zbtb33V0422111Etoh02UniPk	HudsonAlpha	n/a	n/a	n/a
wgEncodeAwgTfbsHaibEcc1CtcfcV0416102Dm002p1hUniPk	HudsonAlpha	n/a	n/a	n/a
wgEncodeAwgTfbsHaibEcc1EraaV0416102Bpa1hUniPk	HudsonAlpha	n/a	n/a	n/a
wgEncodeAwgTfbsHaibEcc1EralphaaV0416102Est10nm1hUniPk	HudsonAlpha	n/a	n/a	n/a
wgEncodeAwgTfbsHaibEcc1EralphaaV0416102Gen1hUniPk	HudsonAlpha	n/a	n/a	n/a
wgEncodeAwgTfbsHaibEcc1Foxa1sc6553V0416102Dm002p1hUniPk	HudsonAlpha	n/a	n/a	n/a
wgEncodeAwgTfbsHaibEcc1GrV0416102Dex100nmUniPk	HudsonAlpha	n/a	n/a	n/a
wgEncodeAwgTfbsHaibEcc1Pol2V0416102Dm002p1hUniPk	HudsonAlpha	n/a	n/a	n/a
wgEncodeAwgTfbsHaibGm12878Atf2sc81188V0422111UniPk	HudsonAlpha	n/a	n/a	n/a
wgEncodeAwgTfbsHaibGm12878Atf3Pcr1xUniPk	HudsonAlpha	n/a	n/a	n/a
wgEncodeAwgTfbsHaibGm12878BatfPcr1xUniPk	HudsonAlpha	n/a	n/a	n/a
wgEncodeAwgTfbsHaibGm12878Bcl11aPcr1xUniPk	HudsonAlpha	n/a	n/a	n/a
wgEncodeAwgTfbsHaibGm12878Bcl3V0416101UniPk	HudsonAlpha	n/a	n/a	n/a
wgEncodeAwgTfbsHaibGm12878Bclaf101388V0416101UniPk	HudsonAlpha	n/a	n/a	n/a
wgEncodeAwgTfbsHaibGm12878Cebpbsc150V0422111UniPk	HudsonAlpha	n/a	n/a	n/a
wgEncodeAwgTfbsHaibGm12878Ebf1sc137065Pcr1xUniPk	HudsonAlpha	n/a	n/a	n/a
wgEncodeAwgTfbsHaibGm12878Egr1Pcr2xUniPk	HudsonAlpha	n/a	n/a	n/a
wgEncodeAwgTfbsHaibGm12878Elf1sc631V0416101UniPk	HudsonAlpha	n/a	n/a	n/a
wgEncodeAwgTfbsHaibGm12878Ets1Pcr1xUniPk	HudsonAlpha	n/a	n/a	n/a
wgEncodeAwgTfbsHaibGm12878Foxm1sc502V0422111UniPk	HudsonAlpha	n/a	n/a	n/a
wgEncodeAwgTfbsHaibGm12878GabpPcr2xUniPk	HudsonAlpha	n/a	n/a	n/a
wgEncodeAwgTfbsHaibGm12878Irf4sc6059Pcr1xUniPk	HudsonAlpha	n/a	n/a	n/a
wgEncodeAwgTfbsHaibGm12878Mef2aPcr1xUniPk	HudsonAlpha	n/a	n/a	n/a
wgEncodeAwgTfbsHaibGm12878Mef2csc13268V0416101UniPk	HudsonAlpha	n/a	n/a	n/a
wgEncodeAwgTfbsHaibGm12878Mta3sc81325V0422111UniPk	HudsonAlpha	n/a	n/a	n/a
wgEncodeAwgTfbsHaibGm12878Nfatc1sc17834V0422111UniPk	HudsonAlpha	n/a	n/a	n/a
wgEncodeAwgTfbsHaibGm12878Nficsc81335V0422111UniPk	HudsonAlpha	n/a	n/a	n/a
wgEncodeAwgTfbsHaibGm12878NrsfPcr1xUniPk	HudsonAlpha	n/a	n/a	n/a
wgEncodeAwgTfbsHaibGm12878P300Pcr1xUniPk	HudsonAlpha	n/a	n/a	n/a
wgEncodeAwgTfbsHaibGm12878Pax5c20Pcr1xUniPk	HudsonAlpha	n/a	n/a	n/a
wgEncodeAwgTfbsHaibGm12878Pax5n19Pcr1xUniPk	HudsonAlpha	n/a	n/a	n/a
wgEncodeAwgTfbsHaibGm12878Pbx3Pcr1xUniPk	HudsonAlpha	n/a	n/a	n/a
wgEncodeAwgTfbsHaibGm12878Pmlsc71910V0422111UniPk	HudsonAlpha	n/a	n/a	n/a
wgEncodeAwgTfbsHaibGm12878Pol24h8Pcr1xUniPk	HudsonAlpha	n/a	n/a	n/a
wgEncodeAwgTfbsHaibGm12878Pol2Pcr2xUniPk	HudsonAlpha	n/a	n/a	n/a
wgEncodeAwgTfbsHaibGm12878Pou2f2Pcr1xUniPk	HudsonAlpha	n/a	n/a	n/a
wgEncodeAwgTfbsHaibGm12878Pu1Pcr1xUniPk	HudsonAlpha	n/a	n/a	n/a
wgEncodeAwgTfbsHaibGm12878Rad21V0416101UniPk	HudsonAlpha	n/a	n/a	n/a
wgEncodeAwgTfbsHaibGm12878Runx3sc101553V0422111UniPk	HudsonAlpha	n/a	n/a	n/a
wgEncodeAwgTfbsHaibGm12878RxraPcr1xUniPk	HudsonAlpha	n/a	n/a	n/a
wgEncodeAwgTfbsHaibGm12878Six5Pcr1xUniPk	HudsonAlpha	n/a	n/a	n/a
