#metaObject	lab	dateSubmitted	dateResubmitted	dateUnrestricted	composite
wgEncodeSydhTfbsImr90CebpbIggrabAlnRep2	Stanford	2011-12-18	n/a	2012-09-18	wgEncodeSydhTfbs
wgEncodeSydhTfbsImr90CebpbIggrabPk	Stanford	2011-12-18	n/a	2012-09-18	wgEncodeSydhTfbs
wgEncodeSydhTfbsImr90CebpbIggrabRawDataRep1	Stanford	2011-12-18	n/a	2012-09-18	wgEncodeSydhTfbs
wgEncodeSydhTfbsImr90CebpbIggrabRawDataRep2	Stanford	2011-12-18	n/a	2012-09-18	wgEncodeSydhTfbs
wgEncodeSydhTfbsImr90CebpbIggrabSig	Stanford	2011-12-18	n/a	2012-09-18	wgEncodeSydhTfbs
wgEncodeSydhTfbsImr90Chd1nb10060411IggrabAlnRep1	Stanford	2012-08-01	n/a	2013-05-01	wgEncodeSydhTfbs
wgEncodeSydhTfbsImr90Chd1nb10060411IggrabAlnRep2	Stanford	2012-08-01	n/a	2013-05-01	wgEncodeSydhTfbs
wgEncodeSydhTfbsImr90Chd1nb10060411IggrabPk	Stanford	2012-08-01	n/a	2013-05-01	wgEncodeSydhTfbs
wgEncodeSydhTfbsImr90Chd1nb10060411IggrabRawDataRep1	Stanford	2012-08-01	n/a	2013-05-01	wgEncodeSydhTfbs
wgEncodeSydhTfbsImr90Chd1nb10060411IggrabRawDataRep2	Stanford	2012-08-01	n/a	2013-05-01	wgEncodeSydhTfbs
wgEncodeSydhTfbsImr90Chd1nb10060411IggrabSig	Stanford	2012-08-01	n/a	2013-05-01	wgEncodeSydhTfbs
wgEncodeSydhTfbsImr90Corestsc30189IggrabAlnRep1	Stanford	2012-06-30	n/a	2013-03-30	wgEncodeSydhTfbs
wgEncodeSydhTfbsImr90Corestsc30189IggrabAlnRep2	Stanford	2012-06-30	n/a	2013-03-30	wgEncodeSydhTfbs
wgEncodeSydhTfbsImr90Corestsc30189IggrabPk	Stanford	2012-06-30	n/a	2013-03-30	wgEncodeSydhTfbs
wgEncodeSydhTfbsImr90Corestsc30189IggrabRawDataRep1	Stanford	2012-06-30	n/a	2013-03-30	wgEncodeSydhTfbs
wgEncodeSydhTfbsImr90Corestsc30189IggrabRawDataRep2	Stanford	2012-06-30	n/a	2013-03-30	wgEncodeSydhTfbs
wgEncodeSydhTfbsImr90Corestsc30189IggrabSig	Stanford	2012-06-30	n/a	2013-03-30	wgEncodeSydhTfbs
wgEncodeSydhTfbsImr90CtcfbIggrabAlnRep1	Stanford	2012-02-04	n/a	2012-11-03	wgEncodeSydhTfbs
