GCA_042030695.1_HG02976_hap2_hprc_f2	human (HG02976 hap2 2024)
GCA_045524165.1_HG02984_mat_hprc_f2	human (HG02984 mat 2024)
GCA_045524125.1_HG02984_pat_hprc_f2	human (HG02984 pat 2024)
GCA_042038595.1_HG03017_mat_hprc_f2	human (HG03017 mat 2024)
GCA_042038885.1_HG03017_pat_hprc_f2	human (HG03017 pat 2024)
GCA_042037625.1_HG03041_mat_hprc_f2	human (HG03041 mat 2024)
GCA_042037905.1_HG03041_pat_hprc_f2	human (HG03041 pat 2024)
GCA_045524515.1_HG03050_mat_hprc_f2	human (HG03050 mat 2024)
GCA_045524245.1_HG03050_pat_hprc_f2	human (HG03050 pat 2024)
GCA_018506165.2_HG03098_mat_hprc_f2	human (HG03098 mat 2024)
GCA_018506155.2_HG03098_pat_hprc_f2	human (HG03098 pat 2024)
GCA_042032345.1_HG03130_hap1_hprc_f2	human (HG03130 hap1 2024)
GCA_042031485.1_HG03130_hap2_hprc_f2	human (HG03130 hap2 2024)
GCA_043304645.1_HG03139_hap1_hprc_f2	human (HG03139 hap1 2024)
GCA_043304535.1_HG03139_hap2_hprc_f2	human (HG03139 hap2 2024)
GCA_042031175.1_HG03195_hap1_hprc_f2	human (HG03195 hap1 2024)
GCA_042030635.1_HG03195_hap2_hprc_f2	human (HG03195 hap2 2024)
GCA_042032445.1_HG03209_hap1_hprc_f2	human (HG03209 hap1 2024)
GCA_042031355.1_HG03209_hap2_hprc_f2	human (HG03209 hap2 2024)
GCA_042076455.1_HG03225_hap1_hprc_f2	human (HG03225 hap1 2024)
GCA_042076465.1_HG03225_hap2_hprc_f2	human (HG03225 hap2 2024)
GCA_042037705.1_HG03239_mat_hprc_f2	human (HG03239 mat 2024)
GCA_042037925.1_HG03239_pat_hprc_f2	human (HG03239 pat 2024)
GCA_042077695.1_HG03270_hap1_hprc_f2	human (HG03270 hap1 2024)
GCA_042077465.1_HG03270_hap2_hprc_f2	human (HG03270 hap2 2024)
GCA_044165925.1_HG03369_hap1_hprc_f2	human (HG03369 hap1 2024)
GCA_044166625.1_HG03369_hap2_hprc_f2	human (HG03369 hap2 2024)
GCA_018472855.2_HG03453_mat_hprc_f2	human (HG03453 mat 2024)
GCA_018473305.2_HG03453_pat_hprc_f2	human (HG03453 pat 2024)
GCA_043305115.1_HG03470_hap1_hprc_f2	human (HG03470 hap1 2024)
GCA_043304965.1_HG03470_hap2_hprc_f2	human (HG03470 hap2 2024)
GCA_042034215.1_HG03471_hap1_hprc_f2	human (HG03471 hap1 2024)
GCA_042034105.1_HG03471_hap2_hprc_f2	human (HG03471 hap2 2024)
GCA_018503525.2_HG03486_mat_hprc_f2	human (HG03486 mat 2024)
GCA_018503245.2_HG03486_pat_hprc_f2	human (HG03486 pat 2024)
GCA_018469415.2_HG03516_mat_hprc_f2	human (HG03516 mat 2024)
GCA_018469425.2_HG03516_pat_hprc_f2	human (HG03516 pat 2024)
