accession	label	cell_type	tissue	_source_name	_study	__sample	__bsrate	__meth	__depth	__mapping	__uniq	__sites	__hmr_size	__hmr_count	__pmd_size	__pmd_count
SRX5622928	Lung	NA	Lung	NA	SRP190079	SRS4568363	0.994	0.738	14.100	0.829	0.648	0.967	1280.85	38478	17334.34	2717
SRX5622929	Lung	NA	Lung	NA	SRP190079	SRS4568364	0.994	0.722	15.490	0.805	0.683	0.978	1235.51	38364	17179.13	2697
SRX5622930	Muscle	NA	Muscle	NA	SRP190079	SRS4568365	0.993	0.713	16.343	0.835	0.636	0.983	1264.44	49812	42720.9	3206
SRX5622931	Muscle	NA	Muscle	NA	SRP190079	SRS4568366	0.993	0.728	13.989	0.841	0.665	0.967	1311.4	48880	30708.56	3511
SRX5677390	Embryonic Stem	Embryonic stem	NA	Embryonic stem cells	SRP192453	SRS4618587	0.994	0.777	4.641	0.699	0.669	0.839	1856.73	29632	170201.8	1175
SRX5677391	Embryonic Stem	Embryonic stem	NA	Embryonic stem cells	SRP192453	SRS4618589	0.995	0.778	3.665	0.693	0.665	0.801	1924.37	28440	223588.41	890
SRX5677394	Induced Pluripotent Stem	Induced pluripotent stem	NA	Induced pluripotent stem cells	SRP192453	SRS4618591	0.995	0.781	2.864	0.580	0.739	0.728	1940.58	24060	57085.41	975
SRX5677395	Induced Pluripotent Stem	Induced pluripotent stem	NA	Induced pluripotent stem cells	SRP192453	SRS4618593	0.995	0.779	2.759	0.578	0.734	0.724	1843.38	26341	54513.7	1039
SRX5677396	Somatic	Somatic	NA	Somatic cells	SRP192453	SRS4618592	0.998	0.674	4.474	0.836	0.699	0.825	2532.18	27759	511064.52	1491
SRX5677397	Somatic	Somatic	NA	Somatic cells	SRP192453	SRS4618594	0.997	0.674	3.345	0.822	0.767	0.772	2814.5	24835	774440.47	1051
SRX5811870	V-IVF blastocyst 3	NA	V-IVF blastocyst 3	NA	SRP197316	SRS4740991	0.989	0.227	6.912	0.391	0.645	0.965	93114.22	101	251219.45	1051
SRX5811871	in vivo blastocyst 3	NA	in vivo blastocyst 3	NA	SRP197316	SRS4740992	0.991	0.223	6.262	0.450	0.645	0.958	97133.41	733	362122.32	1357
SRX5811872	IVF blastocyst 1	NA	IVF blastocyst 1	NA	SRP197316	SRS4740993	0.990	0.256	6.233	0.364	0.717	0.956	43098.59	1180	387021.27	1038
SRX5811873	in vivo blastocyst 1	NA	in vivo blastocyst 1	NA	SRP197316	SRS4740994	0.991	0.241	6.152	0.448	0.614	0.959	95604.58	876	284269.87	1752
SRX5811874	in vivo blastocyst 2	NA	in vivo blastocyst 2	NA	SRP197316	SRS4740995	0.991	0.261	6.044	0.448	0.630	0.955	66314.08	3010	273493.56	2001
SRX5811875	V-IVF blastocyst 1	NA	V-IVF blastocyst 1	NA	SRP197316	SRS4740996	0.990	0.184	6.130	0.363	0.711	0.955	0.0	0	544416.18	920
SRX5811876	V-IVF blastocyst 2	NA	V-IVF blastocyst 2	NA	SRP197316	SRS4740997	0.990	0.133	5.552	0.406	0.620	0.948	0.0	0	740277.05	848
SRX5811877	IVF blastocyst 2	NA	IVF blastocyst 2	NA	SRP197316	SRS4740998	0.990	0.201	6.620	0.396	0.657	0.961	0.0	0	365888.91	897
SRX5811878	IVF blastocyst 3	NA	IVF blastocyst 3	NA	SRP197316	SRS4740999	0.990	0.162	6.221	0.412	0.632	0.959	0.0	0	616658.18	713
SRX5910229	Sperm	NA	NA	Sperm	SRP199656	SRS4829120	0.993	0.749	22.739	0.675	0.794	0.986	2211.61	52358	26714.24	5312
SRX5910230	Sperm	NA	NA	Sperm	SRP199656	SRS4829121	0.995	0.731	18.382	0.840	0.684	0.985	1967.31	49263	24782.82	5604
SRX5955378	Oocytes	NA	Oocytes	Oocytes	SRP200197	SRS4865868	0.960	0.560	11.864	0.450	0.399	0.975	22719.07	32308	247154.78	4481
SRX5955379	Sperm	NA	Sperm	Sperm	SRP200197	SRS4865869	0.987	0.769	6.857	0.602	0.757	0.962	2240.74	45559	53633.62	2832
SRX5955380	Sperm	NA	Sperm	Sperm	SRP200197	SRS4865870	0.986	0.749	7.308	0.615	0.770	0.964	2566.93	49689	61331.15	3090
SRX5955381	Blood	NA	Blood cells	Blood cells	SRP200197	SRS4865871	0.985	0.745	6.910	0.592	0.742	0.963	1068.84	42425	16844.32	1092
