GCA_016880875.1_bAcaChl1.alt	rifleman (bAcaChl1 alternate hap 2021)
GCA_016904835.1_bAcaChl1.pri	rifleman (bAcaChl1 primary hap 2021)
GCF_004143745.1_ASM414374v1	ring-necked pheasant
GCF_000337935.1_Cliv_1.0	rock pigeon (Danish tumbler 2013 BGI)
GCA_023344045.1_bLagMut1_alternate	rock ptarmigan (bLagMut1 alternate hap 2022)
GCF_023343835.1_bLagMut1_primary	rock ptarmigan (bLagMut1 primary hap 2022)
GCF_011077185.1_BPBGC_Ojam_1.0	ruddy duck
GCF_001431845.1_ASM143184v1	ruff
GCF_017590135.1_ASM1759013v1	rufous-necked snowfinch
GCF_022539395.1_myiCay2020	rusty-margined flycatcher (MyiCay16 2022)
GCF_003984885.1_ASM398488v2	saffron-crested tyrant-manakin
GCA_021966175.1_bArtBel1.0.a	sage sparrow (canescens MVZ Bird 192114 alternate hap 2022)
GCA_021963965.1_bArtBel1.0.p	sage sparrow (canescens MVZ Bird 192114 primary hap 2022)
GCA_023634115.1_bFalChe1.alt	Saker falcon (bFalChe1 alternate hap 2022)
GCF_023634085.1_bFalChe1.pri	Saker falcon (bFalChe1 primary hap 2022 refseq)
GCF_000337975.1_F_cherrug_v1.0	Saker falcon (BGI 2013)
GCA_027887135.1_bAmmCau1.alt	saltmarsh sparrow (bAmmCau1 alternate hap 2023)
GCF_027887145.1_bAmmCau1.pri	saltmarsh sparrow (bAmmCau1 primary hap 2023 refseq)
GCA_022578375.1_bPasSan1.0.a	Savannah sparrow (FMNH 499929 alternate hap 2022)
GCA_022577445.1_bPasSan1.0.p	Savannah sparrow (FMNH 499929 primary hap 2022)
GCF_901933205.1_STF_HiC	small tree finch (2019)
GCA_902806625.1_Camarhynchus_parvulus_V1.1	small tree finch (2020)
GCA_022749775.1_bMelMel1.0.a	song sparrow (gouldii PMB2087b alternate hap 2022)
GCA_022749695.1_bMelMel1.0.p	song sparrow (gouldii PMB2087b primary hap 2022)
GCA_020801775.1_bPorHoc1.pat.decon	South Island takahe (alternate 2021)
GCA_020800305.1_bPorHoc1.mat.Z.cur	South Island takahe (primary 2021)
GCF_000690715.1_ASM69071v1	speckled mousebird (BGI_N325 2014)
GCA_028858725.1_bColStr4.hap1	speckled mousebird (hap1 2023)
GCA_028858625.1_bColStr4.hap2	speckled mousebird (hap2 2023)
GCA_026979555.1_bVidCha1_purged_dups_haplotype	steelblue widowfinch (purged dups hap OUT-0048 2022)
GCA_026979565.1_bVidCha1_merged_haplotype	steelblue widowfinch (merged hap OUT-0048 2022)
GCA_026168045.1_bCyaSte1.0.a	Steller's jay (frontalis alternate hap 2022)
GCA_026167965.1_bCyaSte1.0.p	Steller's jay (frontalis primary hap 2022)
GCA_902168055.1_ARATINGA-SOLSTITIALIS-ASSEMBLY-PRJEB33153	sun parakeet (2019)
GCF_000690775.1_ASM69077v1	sunbittern
GCA_020746095.1_bTroSur1.alt.cur	Suruca trogon (bTroSur1 alternate hap 2021)
GCA_020746105.1_bTroSur1.pri.cur	Suruca trogon (bRtoSur1 primary hap 2021)
GCA_009819505.2_bCatUst1.alt.v2	Swainson's thrush (bCatUst1 v2 alternate hap 2020)
GCF_009819885.2_bCatUst1.pri.v2	Swainson's thrush (bCatUst1 v2 primary hap 2020)
GCA_028019105.1_bMelGeo1.alt	swamp sparrow (bMelGeo1 alternate hap 2023)
GCF_028018845.1_bMelGeo1.pri	swamp sparrow (bMelGeo1 primary hap 2023 refseq)
GCF_002166845.1_GooseV1.0	swan goose (Sichuan white goose 2017)
GCA_013030995.1_ASM1303099v1	swan goose (Tianfu 2020)
GCF_000971095.1_AnsCyg_PRJNA183603_v1.0	swan goose (Zhedong 2015)
GCA_028020675.1_bPodStr1.alt	tawny frogmouth (bPodStr1 alternate hap 2023)
GCA_028020825.1_bPodStr1.pri	tawny frogmouth (bPodStr1 primary hap 2023)
GCF_000331425.1_PseHum1.0	Tibetan ground-tit
GCA_023055385.1_bAgeTri1.0.a	tricolored blackbird (1412-34295 alternate hap 2022)
GCA_023055355.1_bAgeTri1.0.p	tricolored blackbird (1412-34295 primary hap 2022)
GCA_009819845.1_bAytFul2.alt	tufted duck (alternate hap 2019)
GCF_009819795.1_bAytFul2.pri	tufted duck (2019)
GCF_000146605.3_Turkey_5.1	turkey (Aviagen NT-WF06-2002-E0010 2014)
GCA_905368555.1_MGAL_WU_HG_1.0	turkey (WU_HG_1 2021)
GCF_026979565.1_bVidCha1_merged_haplotype	village indigobird (OUT-0048 2022)
GCA_022605895.1_bRalLim1.0.a	Virginia rail (171378401 alternate hap 2022)
GCA_022605955.1_bRalLim1.0.p	Virginia rail (171378401 primary hap 2022)
GCA_951394355.1_bTetUro1.1_alternate_haplotype	western capercaillie (alternate hap 2023)
GCA_951394365.1_bTetUro1.1	western capercaillie (primary hap 2023)
