tableName	settings
wgEncodeSydhTfbsK562CjunIfna6hStdSig	0.000000 10884.000000
wgEncodeUwTfbsH7esInputStdDiffa2dRawRep1	1.000000 9642.000000
wgEncodeHaibTfbsGm12878Tcf12Pcr1xRawRep1	0.180535 142.848007
wgEncodeUwTfbsH7esInputStdDiffa5dRawRep1	1.000000 10821.000000
wgEncodeSydhTfbsK562CjunIfng30StdSig	0.000000 13385.200195
wgEncodeUwTfbsH7esInputStdDiffa9dRawRep1	1.000000 8651.000000
wgEncodeHaibTfbsGm12878Tcf12Pcr1xRawRep2	0.186031 172.636993
wgEncodeUwTfbsH7esInputStdRawRep1	1.000000 9514.000000
wgEncodeSydhTfbsK562CjunIfng6hStdSig	0.000000 12763.799805
wgEncodeHaibTfbsGm12878Tcf3Pcr1xRawRep1	0.143866 157.281006
wgEncodeSydhTfbsK562CjunStdSig	0.000000 13478.500000
wgEncodeUwTfbsHacCtcfStdRawRep1	1.000000 8822.000000
wgEncodeHaibTfbsGm12878Tcf3Pcr1xRawRep2	0.187935 486.845001
wgEncodeSydhTfbsK562CmycIggrabSig	1.000000 15435.000000
wgEncodeHaibTfbsGm12878Usf1Pcr2xRawRep1	0.176730 133.828995
wgEncodeUwTfbsHacCtcfStdRawRep2	1.000000 12920.000000
wgEncodeSydhTfbsK562CmycIfna30StdSig	0.000000 8599.299805
wgEncodeUwTfbsHacInputStdRawRep1	1.000000 18298.000000
wgEncodeHaibTfbsGm12878Usf1Pcr2xRawRep2	0.101472 198.022003
wgEncodeSydhTfbsK562CmycIfna6hStdSig	0.000000 13450.799805
wgEncodeHaibTfbsGm12878Yy1sc281Pcr1xRawRep1	0.240201 156.850998
wgEncodeUwTfbsHaspCtcfStdRawRep1	1.000000 8186.000000
wgEncodeSydhTfbsK562CmycIfng30StdSig	1.000000 5759.000000
wgEncodeHaibTfbsGm12878Yy1sc281Pcr1xRawRep2	0.206929 143.660995
wgEncodeSydhTfbsK562CmycIfng6hStdSig	0.000000 12960.799805
wgEncodeUwTfbsHaspCtcfStdRawRep2	1.000000 8548.000000
wgEncodeHaibTfbsGm12878Zbtb33Pcr1xRawRep1	0.176821 148.970993
wgEncodeUwTfbsHaspInputStdRawRep1	1.000000 22062.000000
wgEncodeSydhTfbsK562CmycStdSig	0.000000 8692.299805
wgEncodeHaibTfbsGm12878Zbtb33Pcr1xRawRep2	0.206141 160.584000
wgEncodeSydhTfbsK562Corestab24166IggrabSig	1.000000 17236.000000
wgEncodeUwTfbsHbmecCtcfStdRawRep1	1.000000 5796.000000
wgEncodeHaibTfbsGm12878Zeb1sc25388V0416102RawRep1	0.435075 357.414001
wgEncodeSydhTfbsK562Corestsc30189IggrabSig	1.000000 8974.000000
wgEncodeHaibTfbsGm12878Zeb1sc25388V0416102RawRep2	0.242199 131.514008
wgEncodeUwTfbsHbmecCtcfStdRawRep2	1.000000 8110.000000
wgEncodeSydhTfbsK562CtcfbIggrabSig	1.000000 23782.000000
wgEncodeHaibTfbsGm12878RxlchPcr1xRawRep1	0.074945 141.964996
wgEncodeUwTfbsHbmecInputStdRawRep1	1.000000 15288.000000
wgEncodeHaibTfbsGm12878RxlchPcr1xRawRep2	0.091415 152.707993
wgEncodeUwTfbsHcfInputStdRawRep1	1.000000 19717.000000
wgEncodeSydhTfbsK562E2f4UcdSig	0.000000 7453.899902
wgEncodeHaibTfbsGm12878RxlchPcr1xRawRep3	0.182357 147.481995
wgEncodeHaibTfbsGm12878RxlchPcr1xRawRep4	0.275165 78.490799
wgEncodeSydhTfbsK562E2f6UcdSig	0.000000 13086.099609
wgEncodeHaibTfbsGm12878RxlchPcr1xRawRep5	0.201412 94.764297
wgEncodeUwTfbsHcfaaCtcfStdRawRep1	1.000000 8603.000000
