accession	label	cell_type	tissue	_source_name	_study	__sample	__bsrate	__meth	__depth	__mapping	__uniq	__sites	__hmr_size	__hmr_count	__pmd_size	__pmd_count
SRX22368602	Bone Marrow	megakaryocyte progenitor cells	Bone marrow	NA	SRP470181	SRS19416339	0.986	0.704	10.484	0.485	0.555	0.966	1130.93	42240	16893.17	1583
SRX22368605	Bone Marrow	hematopoietic stem cells	Bone marrow	NA	SRP470181	SRS19416342	0.958	0.739	2.536	0.255	0.131	0.780	1419.63	31992	52199.74	355
SRX22368606	Bone Marrow	megakaryocyte progenitor cells	Bone marrow	NA	SRP470181	SRS19416343	0.967	0.690	2.279	0.235	0.168	0.774	1690.27	28717	59673.67	175
SRX22491162	Blood	NA	Whole blood	NA	SRP471363	SRS19504465	0.985	0.744	8.642	0.814	0.801	0.917	1184.67	40090	21538.39	764
SRX22491163	Blood	NA	Whole blood	NA	SRP471363	SRS19504465	0.985	0.746	8.589	0.814	0.801	0.917	1179.26	40460	21337.39	785
SRX22491261	Blood	NA	Whole blood	NA	SRP471363	SRS19504465	0.985	0.744	8.539	0.817	0.802	0.917	1178.89	40421	20805.85	849
SRX22491262	Blood	NA	Whole blood	NA	SRP471363	SRS19504465	0.985	0.743	8.451	0.813	0.803	0.917	1185.83	40145	21412.03	768
SRX22491266	Blood	NA	Whole blood	NA	SRP471363	SRS19504425	0.996	0.794	19.270	0.839	0.730	0.960	925.0	66603	9612.37	3669
SRX22491268	Blood	NA	Whole blood	NA	SRP471363	SRS19504432	0.996	0.781	21.189	0.828	0.763	0.964	898.45	68630	9601.17	3553
SRX22491270	Blood	NA	Whole blood	NA	SRP471363	SRS19504434	0.996	0.788	20.156	0.828	0.745	0.961	953.85	61653	9160.57	3541
