accession	label	cell_type	tissue	_source_name	_study	__sample	__bsrate	__meth	__depth	__mapping	__uniq	__sites	__hmr_size	__hmr_count	__pmd_size	__pmd_count
SRX26458403	Liver	NA	Liver	Liver	SRP540226	SRS22973476	0.986	0.674	16.237	0.546	0.599	0.956	1177.87	45168	14548.06	1432
SRX26458404	Liver	NA	Liver	Liver	SRP540226	SRS22973477	0.984	0.692	13.183	0.565	0.624	0.952	1213.18	42027	15128.98	1514
SRX26458405	Liver	NA	Liver	Liver	SRP540226	SRS22973478	0.984	0.689	13.047	0.561	0.652	0.951	1213.75	39668	14033.36	1492
SRX26458406	Liver	NA	Liver	Liver	SRP540226	SRS22973479	0.987	0.667	18.040	0.524	0.633	0.957	1195.3	45086	14678.15	1652
SRX26458407	Liver	NA	Liver	Liver	SRP540226	SRS22973480	0.985	0.679	9.270	0.540	0.650	0.945	1311.67	34870	20983.8	718
SRX26458408	Liver	NA	Liver	Liver	SRP540226	SRS22973481	0.986	0.693	18.395	0.470	0.638	0.959	1193.25	47515	11361.95	2739
SRX26458409	Brain	Neuron	Brain	Brain	SRP540226	SRS22973482	0.966	0.549	9.739	0.661	0.559	0.935	3406.41	47165	199562.09	2456
SRX26458410	Brain	Neuron	Brain	Brain	SRP540226	SRS22973483	0.957	0.664	19.497	0.725	0.652	0.942	1427.72	56136	47624.6	3383
SRX26458411	Brain	Neuron	Brain	Brain	SRP540226	SRS22973484	0.968	0.621	22.521	0.622	0.576	0.950	1806.36	68062	42651.63	5679
SRX26458412	Brain	Neuron	Brain	Brain	SRP540226	SRS22973485	0.947	0.690	7.120	0.633	0.592	0.914	1355.69	31314	20201.34	802
SRX26458413	Brain	Neuron	Brain	Brain	SRP540226	SRS22973486	0.966	0.730	25.328	0.654	0.668	0.949	1148.68	56293	11970.75	3860
SRX26458414	Brain	Neuron	Brain	Brain	SRP540226	SRS22973487	0.966	0.731	19.537	0.667	0.667	0.946	1205.01	75767	13845.82	4531
SRX26458532	Placenta	endothelial cell	placenta	placenta	SRP540228	SRS22973605	0.995	0.738	10.993	0.823	0.685	0.945	1037.95	58831	12802.67	1860
SRX26458533	Placenta	endothelial cell	placenta	placenta	SRP540228	SRS22973606	0.997	0.741	18.220	0.818	0.642	0.951	921.9	66427	8699.2	2830
