accession	label	cell_type	tissue	_source_name	_study	__sample	__bsrate	__meth	__depth	__mapping	__uniq	__sites	__hmr_size	__hmr_count	__pmd_size	__pmd_count
SRX514415	Sperm	sperm cells	NA	sperm cells	SRP041054	SRS590726	0.995	0.399	34.503	0.821	0.957	0.950	958.64	25015	9205.0	966
SRX523388	Lung	NA	Lung	Lung	SRP041344	SRS595543	0.916	0.611	45.155	0.757	0.491	0.962	940.44	27168	12485.38	871
SRX5523258	Lung	NA	Lung	Lung	SRP188450	SRS4489995	0.966	0.323	7.034	0.877	0.968	0.877	9509.89	742	1865333.71	38
SRX5523259	Lung	NA	Lung	Lung	SRP188450	SRS4489996	1.000	0.000	9.434	0.858	0.956	0.903	0.0	0	0.0	0
SRX5523260	Lung	NA	Lung	Lung	SRP188450	SRS4489997	0.914	0.632	11.854	0.852	0.616	0.920	1218.71	20482	11852.99	655
SRX5523262	Lung	NA	Lung	Lung	SRP188450	SRS4489999	0.921	0.590	12.707	0.832	0.735	0.935	1150.56	21143	19697.49	353
SRX5523265	Lung	NA	Lung	Lung	SRP188450	SRS4490002	0.916	0.605	19.506	0.857	0.832	0.945	1073.57	22079	12770.55	646
SRX7210747	Hypothalamus	NA	hypothalamus	NA	SRP233032	SRS5713771	0.968	0.508	14.941	0.685	0.814	0.955	1238.42	23032	14094.03	1448
SRX7210748	Hypothalamus	NA	hypothalamus	NA	SRP233032	SRS5713772	0.966	0.516	13.368	0.624	0.834	0.952	1284.96	22801	14471.11	1560
SRX7210749	Ovary	NA	ovary	NA	SRP233032	SRS5713773	0.980	0.517	16.307	0.776	0.814	0.951	1163.11	23648	12972.52	759
SRX7210750	Ovary	NA	ovary	NA	SRP233032	SRS5713774	0.970	0.511	10.229	0.638	0.523	0.948	1315.29	22748	23855.21	876
SRX7210751	Ovary	NA	ovary	NA	SRP233032	SRS5713775	0.974	0.484	9.660	0.605	0.526	0.944	1358.53	22426	25236.86	905
SRX7210752	Hypothalamus	NA	hypothalamus	NA	SRP233032	SRS5713776	0.971	0.485	11.591	0.538	0.815	0.949	1314.86	22932	26600.91	741
SRX7210753	Ovary	NA	ovary	NA	SRP233032	SRS5713777	0.967	0.584	10.390	0.540	0.713	0.944	1335.63	22143	14452.35	1151
SRX7210754	Ovary	NA	ovary	NA	SRP233032	SRS5713778	0.982	0.518	14.228	0.761	0.809	0.949	1179.79	22616	13139.03	607
SRX7210755	Ovary	NA	ovary	NA	SRP233032	SRS5713779	0.981	0.533	19.427	0.806	0.860	0.952	1198.07	26453	14252.66	1010
SRX7210756	Ovary	NA	ovary	NA	SRP233032	SRS5713780	0.981	0.529	14.697	0.737	0.796	0.949	1244.54	26174	13871.26	1100
SRX7210757	Hypothalamus	NA	hypothalamus	NA	SRP233032	SRS5713781	0.981	0.508	16.634	0.787	0.767	0.950	1227.0	25723	13732.49	1036
SRX7210758	Hypothalamus	NA	hypothalamus	NA	SRP233032	SRS5713782	0.980	0.527	17.163	0.773	0.798	0.951	1196.31	25455	14301.66	869
SRX7210759	Hypothalamus	NA	hypothalamus	NA	SRP233032	SRS5713783	0.982	0.529	15.569	0.784	0.801	0.949	1224.1	26210	14854.83	871
SRX7285992	Brain	NA	NA	brain	SRP235124	SRS5779514	0.976	0.636	23.653	0.833	0.776	0.938	1025.64	23761	12460.54	1746
SRX7885072	Jejunum	NA	jejunum tissue	jejunum tissue	SRP252164	SRS6294786	0.989	0.524	40.102	0.805	0.795	0.957	993.8	28132	13935.56	976
SRX7885073	Jejunum	NA	jejunum tissue	jejunum tissue	SRP252164	SRS6294787	0.989	0.525	37.007	0.812	0.796	0.961	978.2	29754	13315.43	1065
SRX7885074	Jejunum	NA	jejunum tissue	jejunum tissue	SRP252164	SRS6294788	0.989	0.528	37.972	0.800	0.799	0.961	991.91	26950	12708.82	1200
SRX7885075	Jejunum	NA	jejunum tissue	jejunum tissue	SRP252164	SRS6294789	0.989	0.544	38.734	0.809	0.786	0.963	973.08	27653	12525.71	1166
SRX7885076	Spleen	NA	spleen tissue	spleen tissue	SRP252164	SRS6294790	0.988	0.534	37.127	0.768	0.787	0.964	900.21	29792	12155.91	1152
SRX7885077	Spleen	NA	spleen tissue	spleen tissue	SRP252164	SRS6294791	0.989	0.558	32.251	0.780	0.831	0.954	918.12	28405	11913.12	1132
SRX7885078	Spleen	NA	spleen tissue	spleen tissue	SRP252164	SRS6294792	0.988	0.571	31.370	0.786	0.833	0.961	874.28	31155	11216.25	1202
SRX7885079	Spleen	NA	spleen tissue	spleen tissue	SRP252164	SRS6294793	0.989	0.533	43.979	0.770	0.816	0.965	869.62	30531	11815.05	1286
SRX7885080	Breast	NA	breast tissue	breast tissue	SRP252164	SRS6294794	0.989	0.517	35.830	0.783	0.812	0.962	958.46	35169	16540.19	1157
SRX7885081	Spleen	NA	spleen tissue	spleen tissue	SRP252164	SRS6294795	0.988	0.557	34.324	0.803	0.789	0.960	891.49	29483	11001.31	1234
SRX7885082	Spleen	NA	spleen tissue	spleen tissue	SRP252164	SRS6294796	0.988	0.564	27.468	0.791	0.846	0.960	915.77	29262	10819.95	1350
