loxAfr	9785	Loxodonta africana	2012-11-14 10:16:18	vertebrates_mammals/Loxodonta_africana/Loxafr3.0/ASSEMBLY_INFO
loxAfr	9785	Loxodonta africana	2012-11-14 10:16:18	vertebrates_mammals/Loxodonta_africana/Loxafr3.0/ASSEMBLY_INFO.29Jul2009
macEug	9315	Macropus eugenii	2012-11-14 10:16:18	vertebrates_mammals/Macropus_eugenii/Meug_1.1/ASSEMBLY_INFO
macFas	9541	Macaca fascicularis	2012-11-14 10:16:18	vertebrates_mammals/Macaca_fascicularis/CE_1.0/ASSEMBLY_INFO
macFas	9541	Macaca fascicularis	2012-11-14 10:16:18	vertebrates_mammals/Macaca_fascicularis/MacFas_Jun2011/ASSEMBLY_INFO
macFas	9541	Macaca fascicularis	2013-07-14 16:35:21	vertebrates_mammals/Macaca_fascicularis/Macaca_fascicularis_5.0/ASSEMBLY_INFO
macMul	9544	Macaca mulatta	2012-11-14 10:16:18	vertebrates_mammals/Macaca_mulatta/CR_1.0/ASSEMBLY_INFO
manVit	328815	Manacus vitellinus	2014-06-04 10:23:03	vertebrates_other/Manacus_vitellinus/ASM69201v1/ASSEMBLY_INFO
mayZeb	106582	Maylandia zebra	2012-11-14 10:16:19	vertebrates_other/Maylandia_zebra/MetZeb1.0/ASSEMBLY_INFO
mayZeb	106582	Maylandia zebra	2012-11-14 10:16:19	vertebrates_other/Maylandia_zebra/MetZeb1.1/ASSEMBLY_INFO
megLyr	9413	Megaderma lyra	2013-09-20 10:23:06	vertebrates_mammals/Megaderma_lyra/ASM46534v1/ASSEMBLY_INFO
melGal	9103	Meleagris gallopavo	2012-11-14 10:16:20	vertebrates_other/Meleagris_gallopavo/Turkey_2.01/ASSEMBLY_INFO
melUnd	13146	Melopsittacus undulatus	2012-11-14 10:16:20	vertebrates_other/Melopsittacus_undulatus/Melopsittacus_undulatus_6.3/ASSEMBLY_INFO
merNub	57421	Merops nubicus	2014-06-04 10:23:03	vertebrates_other/Merops_nubicus/ASM69184v1/ASSEMBLY_INFO
mesAur	10036	Mesocricetus auratus	2013-04-28 10:38:58	vertebrates_mammals/Mesocricetus_auratus/MesAur1.0/ASSEMBLY_INFO
mesUni	54374	Mesitornis unicolor	2014-06-04 10:23:03	vertebrates_other/Mesitornis_unicolor/ASM69576v1/ASSEMBLY_INFO
micOch	79684	Microtus ochrogaster	2012-12-13 16:22:47	vertebrates_mammals/Microtus_ochrogaster/MicOch1.0/ASSEMBLY_INFO
