accession	label	cell_type	tissue	_source_name	_study	__sample	__bsrate	__meth	__depth	__mapping	__uniq	__sites	__hmr_size	__hmr_count	__pmd_size	__pmd_count
SRX6828472	Hypothalamus	NA	Hypothalamus	hypothalamus	SRP221276	SRS5370648	0.986	0.712	1.893	0.804	0.752	0.754	1759.99	26939	81242.95	280
SRX6828473	Hypothalamus	NA	Hypothalamus	hypothalamus	SRP221276	SRS5370649	0.983	0.727	1.685	0.798	0.785	0.721	1659.87	26972	80029.5	311
SRX883596	Brain-preoptic area	NA	Brain-preoptic area	NA	SRP055171	SRS850795	0.964	0.760	2.467	0.957	0.237	0.718	1479.24	31491	50167.23	258
SRX883598	Brain-preoptic area	NA	Brain-preoptic area	NA	SRP055171	SRS850798	0.960	0.765	2.249	0.957	0.224	0.702	1499.28	30295	63671.4	201
SRX9722275	Serum	serum	NA	serum	SRP299084	SRS7915827	0.966	0.735	2.627	0.818	0.772	0.843	1747.38	26141	56180.31	365
SRX9722276	Serum	serum	NA	serum	SRP299084	SRS7915826	0.966	0.741	2.593	0.811	0.791	0.846	1772.57	26246	69808.34	290
SRX9722277	Skin	skin tissues	NA	skin tissues	SRP299084	SRS7915830	0.968	0.702	11.776	0.835	0.543	0.965	1263.75	43046	10880.15	2871
SRX9722278	Serum	serum	NA	serum	SRP299084	SRS7915829	0.966	0.753	2.702	0.814	0.801	0.857	1694.46	27211	50515.93	464
SRX9722279	Brain	brain tissues	NA	brain tissues	SRP299084	SRS7915828	0.962	0.751	12.553	0.813	0.692	0.965	1152.92	59832	14919.38	3528
SRX9722280	Serum	serum	NA	serum	SRP299084	SRS7915832	0.968	0.753	2.946	0.807	0.775	0.871	1620.67	29037	50249.21	444
SRX9722281	Lung	lung tissues	NA	lung tissues	SRP299084	SRS7915831	0.968	0.723	12.532	0.819	0.657	0.967	1256.43	38098	12661.41	2441
